compound_name,num_experiments,num_species,num_taxa,num_pmids,median_effect,trimmed_mean_effect,sign_consistency,leave_one_species_out_stability,leave_one_taxon_out_stability,aggregation_stability,breadth_score,robustness_score,avg_significance_summary,max_significance_summary,taxa_present,species_present,pmids,evidence_tier,robust_flag,thin_evidence_reason,rank,empirical_p_value,null_exceedance_rate,null_z_score
3-Methoxycatechol II,2,1,1,1,4.364999999999999,4.364999999999999,1.0,0.0,0.0,1.0,0.3055555555555555,0.4613094444444445,NS:1;S:1,blank:2,nematode,Caenorhabditis elegans,33008901,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,385,0.5604395604395604,0.56,0.5999674166408702
SP600125,1,1,1,1,23.5,23.5,1.0,0.0,0.0,1.0,0.25,0.461,S:1,blank:1,insect,Drosophila melanogaster,22363408,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,386,0.08291708291708291,0.082,0.851397404997181
Dafachronic Acid,1,1,1,1,23.44,23.44,1.0,0.0,0.0,1.0,0.25,0.46094,S:1,blank:1,nematode,Caenorhabditis elegans,26691751,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,387,0.17582417582417584,0.175,0.5739893036976136
Potassium Chloride,1,1,1,1,23.23,23.23,1.0,0.0,0.0,1.0,0.25,0.46073,S:1,blank:1,nematode,Caenorhabditis elegans,26854551,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,388,0.1998001998001998,0.199,0.5946118339064893
Tetraethylammonium chloride,2,1,1,1,3.63,3.63,1.0,0.0,0.0,1.0,0.3055555555555555,0.4605744444444445,NS:2,blank:2,nematode,Caenorhabditis elegans,33008901,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,389,0.5874125874125874,0.587,0.5817145104342535
Flunarizine hydrochloride,2,1,1,1,3.5949999999999998,3.5949999999999998,1.0,0.0,0.0,1.0,0.3055555555555555,0.4605394444444445,NS:2,blank:2,nematode,Caenorhabditis elegans,33008901,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,390,0.5684315684315684,0.568,0.6018572422431651
Acetic Acid,1,1,1,1,23.0,23.0,1.0,0.0,0.0,1.0,0.25,0.4605,S:1,blank:1,nematode,Caenorhabditis elegans,19837596,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,391,0.17482517482517482,0.174,0.57956009161165
Cyproterone acetate,1,1,1,1,23.0,23.0,1.0,0.0,0.0,1.0,0.25,0.4605,S:1,blank:1,nematode,Caenorhabditis elegans,24134630,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,392,0.1798201798201798,0.179,0.5974417872063652
Metergoline,1,1,1,1,23.0,23.0,1.0,0.0,0.0,1.0,0.25,0.4605,S:1,blank:1,nematode,Caenorhabditis elegans,24134630,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,393,0.17782217782217782,0.177,0.5783250241301382
Nicardipine hydrochloride,1,1,1,1,23.0,23.0,1.0,0.0,0.0,1.0,0.25,0.4605,S:1,blank:1,nematode,Caenorhabditis elegans,24134630,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,394,0.18581418581418582,0.185,0.5827985454398596
Quercetin dihydrate,1,1,1,1,23.0,23.0,1.0,0.0,0.0,1.0,0.25,0.4605,S:1,blank:1,insect,Drosophila melanogaster,22363408,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,395,0.07892107892107893,0.078,0.8795037957588167
6526-0645,2,1,1,1,3.51,3.51,1.0,0.0,0.0,1.0,0.3055555555555555,0.4604544444444445,S:2,blank:2,nematode,Caenorhabditis elegans,33008901,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,396,0.5814185814185814,0.581,0.5788776366695224
Geranylgeranylacetone,2,1,1,1,3.5,3.5,1.0,0.0,0.0,1.0,0.3055555555555555,0.4604444444444445,NS:2,NS:2,mammal,Mus musculus,33788371,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,397,0.34065934065934067,0.34,0.9233546567708318
